time (s), ch0 acceleration (g), ch1 acceleration (g)
0.702891,0.383631,0.000268
0.703888,0.000734,1.280465
0.704885,-0.949613,0.000738
0.705882,0.000836,1.209346
0.706879,-1.395963,0.000952
0.707876,0.030884,0.000654
0.708873,0.000736,-1.182458
0.709870,-1.190236,0.000833
0.710867,0.000625,-0.003780
0.711864,-1.299674,0.000907
0.712861,0.000416,1.183908
0.713858,-0.237091,0.000733
0.714855,0.000951,1.297095
0.715852,1.039640,0.000669
0.716849,0.000541,0.222245
0.717846,1.377568,0.001422
0.718843,0.001353,-1.071010
0.719840,0.457686,0.000719
0.720837,0.000844,-1.362653
0.721834,-0.895658,0.000305
0.722832,0.000440,-0.418771
0.723829,-1.414502,0.000413
0.724826,0.001184,0.899371
0.725823,-0.640906,0.000464
0.726820,0.000762,1.410126
0.727817,0.700822,0.000642
0.728814,0.001121,0.633451
0.729811,1.416587,0.001066
0.730808,0.000963,-0.736178
0.731805,0.841663,0.000867
0.732802,0.000507,-1.424280
0.733799,-0.512940,0.000161
0.734796,0.000861,-0.803327
0.735793,-1.397277,0.001525
0.736790,0.001054,0.530364
0.737787,-0.986727,0.000741
0.738784,0.001454,1.393424
0.739781,0.300021,0.001017
0.740778,0.000704,0.986005
0.741775,1.323543,0.000768
0.742772,0.000641,-0.330530
0.743769,1.143489,0.000802
0.744766,0.000408,-1.350081
0.745763,-0.086361,0.000818
0.746760,0.000541,-1.113997
0.747757,-1.248059,0.001206
0.748754,0.001237,0.114799
0.749751,-1.244102,0.000921
0.750748,0.000968,1.247171
0.751745,-0.122843,0.000791
0.752742,0.000936,1.248118
0.753739,1.112294,0.000228
0.754736,0.000371,0.106185
0.755733,1.340647,0.000985
0.756730,0.000397,-1.146911
0.757727,0.344291,0.000902
0.758724,0.000653,-1.328471
0.759721,-0.982272,0.000745
0.760718,0.000688,-0.311187
0.761715,-1.391198,0.001129
0.762712,0.000748,0.984458
0.763709,-0.533754,0.000361
0.764706,0.001177,1.391803
0.765703,0.797190,0.000264
0.766700,0.001303,0.528627
0.767697,1.414752,0.000633
0.768694,0.001178,-0.831991
0.769691,0.741259,0.000765
0.770688,0.000839,-1.418441
0.771685,-0.622950,0.001066
0.772682,0.000952,-0.704737
0.773679,-1.411930,0.000513
0.774676,0.000517,0.634327
0.775673,-0.897063,0.000839
0.776670,0.000626,1.409248
0.777667,0.414527,0.000542
0.778664,0.000872,0.898908
0.779661,1.361317,0.000132
0.780658,0.000894,-0.442947
0.781655,1.067584,-0.000446
0.782652,0.000752,-1.381242
0.783649,-0.208789,0.000793
0.784646,0.000503,-1.039235
0.785643,-1.302884,0.001015
0.786640,0.226969,0.597354
0.787637,0.001455,-0.000337
0.788634,1.296049,-0.769971
0.789631,0.000679,0.000288
0.790628,1.186447,-1.421983
0.791625,0.000319,0.000286
0.792622,-0.009875,-0.766962
0.793619,0.000658,0.000188
0.794616,-1.209595,0.567785
0.795613,0.000992,0.000644
0.796610,-1.279341,1.398203
0.797607,0.000831,-0.000081
0.798604,-0.197859,0.953418
0.799601,0.000277,0.000056
0.800598,1.062170,-0.371295
0.801595,0.000122,0.000518
0.802592,1.362220,-1.359764
0.803589,0.000855,0.000533
0.804586,0.417923,-1.084218
0.805583,0.000107,0.000358
0.806580,-0.924215,0.158959
0.807577,0.000093,0.000248
0.808574,-1.403788,1.266143
0.809571,0.000400,0.000344
0.810568,-0.603134,1.221753
0.811565,0.000551,0.000510
0.812562,0.732726,0.058069
0.813559,0.000285,0.000194
0.814556,1.414368,-1.173029
0.815553,0.000454,-0.000544
0.816550,0.805216,-1.308926
0.817547,0.000287,0.000118
0.818544,-0.551889,-0.264044
0.819541,-0.000185,0.000102
0.820538,-1.402164,1.019390
0.821535,0.000056,0.000495
0.822532,-0.955195,1.383646
0.823529,0.000617,-0.000172
0.824526,0.341675,0.485086
0.825523,0.000831,0.000641
0.826520,1.340122,-0.872221
0.827517,0.000619,-0.000155
0.828514,1.119268,-1.417807
0.829511,0.000372,0.000115
0.830508,-0.130088,-0.665053
0.831505,0.001189,0.000554
0.832502,-1.271726,0.678251
0.833500,0.000028,0.000449
0.834497,-1.227037,1.416911
0.835494,0.000370,0.000789
0.836491,-0.082455,0.864674
0.837488,0.000167,0.000133
0.838485,1.139528,-0.488080
0.839482,0.001071,0.000729
0.840479,1.329570,-1.396002
0.841476,0.000518,0.000788
0.842473,0.304034,-1.010422
0.843470,0.000147,0.000028
0.844467,-1.014540,0.273777
